,Total Household Income
212,269702
213,222351
214,135602
215,295225
216,419138
217,357946
218,533840
219,107867
220,104656
221,140329
222,92719
223,144398
224,87069
225,129628
226,120140
227,438261
228,383498
229,275729
230,117904
231,213286
232,108801
233,166275
234,72826
235,122335
236,156865
237,117841
238,103260
239,95622
240,115450
241,121453
242,207425
243,162723
244,91835
245,65220
246,261545
247,101515
248,64113
249,120500
250,98429
251,47420
252,76455
253,66030
254,135875
255,72695
256,294886
257,42265
258,159545
259,110775
260,174155
261,349579
262,104895
263,157759
264,103545
265,208074
266,164464
267,145666
268,158977
269,158061
270,167888
271,125284
272,183770
273,521338
274,157183
275,162125
276,94526
277,153195
278,193810
279,182344
280,336128
281,237680
282,82946
283,184632
284,115317
285,83838
286,206668
287,100004
288,88411
289,98304
290,136952
291,144470
292,79984
293,98648
294,71260
295,140033
296,821833
297,163014
298,81900
299,46160
300,90330
301,34935
302,45482
303,80651
304,109764
305,335426
306,384167
307,122035
308,135150
309,79815
310,127335
311,59458
312,172268
313,89510
314,259070
315,56966
316,208273
317,40444
318,61523
319,133156
320,144686
321,303605
322,358410
323,71898
324,48170
325,68145
326,54480
327,95228
328,76920
329,200648
330,127332
331,163508
332,133016
333,478701
334,131699
335,176618
336,173995
337,233100
338,297366
339,201271
340,879038
341,397440
342,342207
343,718238
344,124140
345,511900
346,275938
347,1107119
348,327272
349,242800
350,647108
351,352952
352,212350
353,755000
354,297180
355,243548
356,375770
357,50722
358,30367
359,152834
360,92243
361,85409
362,67940
363,108468
364,370960
365,90946
366,23253
367,172427
368,59415
369,106323
370,221671
371,95212
372,89356
373,1570874
374,963550
375,115208
376,714506
377,92319
378,681291
379,1044680
380,379500
381,342410
382,234774
383,310538
384,130820
385,323633
386,112260
387,380868
388,241920
389,108593
390,164268
391,230644
392,287585
393,294500
394,141098
395,176280
396,67506
397,93432
398,71980
399,84920
400,159600
401,162948
402,168226
403,76769
404,139057
405,350128
406,277911
407,68429
408,419430
409,299196
410,88893
411,148472
412,136572
413,116682
414,109842
415,189194
416,193805
417,176698
418,371060
419,218540
420,206199
421,122713
422,161963
423,141306
424,59839
425,61415
426,29174
427,92399
428,104633
429,116683
430,100687
431,81452
432,89722
433,95224
434,78874
435,212760
436,314739
437,101717
438,181293
439,301538
440,74280
441,126500
442,217666
443,206211
444,169742
445,134277
446,129257
447,209483
448,112990
449,202140
450,29358
451,335167
452,134281
453,540882
454,224252
455,80340
456,138830
457,225890
458,453130
459,150310
460,1538900
461,97615
462,111876
463,221760
464,173848
465,214630
466,146110
467,322000
468,146020
469,194644
470,462847
471,263158
472,190305
473,161541
474,123197
475,383454
476,59748
477,90022
478,673434
479,86970
480,116883
481,25584
482,151127
483,130339
484,70531
485,93747
486,341210
487,129644
488,159844
489,27413
490,306692
491,145708
492,637430
493,218563
494,276320
495,729200
496,339570
497,515601
498,305992
499,236605
500,312633
501,193909
502,395092
503,39800
504,145800
505,612910
506,320180
507,271203
508,506780
509,228870
510,132070
511,398015
512,120090
513,399215
514,141277
515,116805
516,231880
517,94918
518,155025
519,660738
520,116055
521,295156
522,427976
523,247002
524,234661
525,79019
526,100658
527,134573
528,197672
529,344190
530,1606308
531,273820
532,96300
533,144737
534,136122
535,646260
536,136069
537,56106
538,57875
539,130474
540,68657
541,335098
542,172405
543,72820
544,109883
545,51210
546,119960
547,149700
548,544170
549,281201
550,1796730
551,135124
552,205266
553,186550
554,92556
555,171251
556,57769
557,150384
558,848240
559,71852
560,568492
561,101922
562,97470
563,169410
564,346780
565,537600
566,96151
567,101700
568,378401
569,229075
570,102715
571,164841
572,85745
573,309092
574,176883
575,161185
576,40226
577,690190
578,90844
579,371698
580,119461
581,79040
582,207993
583,205627
584,133779
585,214563
586,89888
587,84693
588,162774
589,167506
590,67502
591,118228
592,85420
593,145195
594,583168
595,131810
596,390226
597,99078
598,131780
599,276776
600,175800
601,108313
602,195240
603,123955
604,118920
605,203275
606,177839
607,52479
608,125948
609,400862
610,113693
611,80541
612,78238
613,196975
614,176410
615,654500
616,445855
617,152360
618,567050
619,320311
620,598948
621,236626
622,129798
623,110290
624,155173
625,191806
626,106268
627,27795
628,177473
629,153353
630,107023
631,63064
632,54640
633,48905
634,113531
635,122720
636,50065
637,46709
638,14691
639,108395
640,111439
641,58798
642,83747
643,77740
644,54381
645,167412
646,68465
647,72861
648,52245
649,23855
650,101256
651,30294
652,20688
653,37078
654,204550
655,121627
656,96612
657,146828
658,85551
659,119894
660,407053
661,62435
662,185577
663,59604
664,120596
665,83193
666,77651
667,72210
668,66352
669,59672
670,68125
671,140611
672,98965
673,73224
674,101802
675,57553
676,136527
677,199545
678,362818
679,81712
680,124676
681,39732
682,71375
683,44202
684,82184
685,73674
686,140115
687,137855
688,139238
689,128552
690,420920
691,150360
692,632120
693,201280
694,197287
695,387164
696,103880
697,165906
698,295600
699,66252
700,93020
701,121390
702,642630
703,154990
704,112128
705,228063
706,177157
707,136980
708,267630
709,150096
710,179509
711,625096
712,119103
713,127471
714,102080
715,381970
716,84976
717,410000
718,19581
719,161279
720,122469
721,113292
722,76052
723,61470
724,1280422
725,49700
726,111338
727,103064
728,134358
729,37902
730,44184
731,48255
732,64455
733,51074
734,40649
735,96956
736,76460
737,42806
738,148742
739,146786
740,183827
741,580160
742,270835
743,149640
744,255060
745,143552
746,269001
747,447170
748,117837
749,121962
750,542660
751,285520
752,58329
753,242172
754,455683
755,55080
756,119115
757,80704
758,128718
759,169182
760,116316
761,164939
762,125877
763,35384
764,493311
765,187533
766,140501
767,457006
768,303063
769,114198
770,188066
771,132104
772,95469
773,174591
774,72510
775,128763
776,193723
777,95261
778,78840
779,269913
780,44415
781,159040
782,132632
783,149776
784,177908
785,140474
786,194956
787,142113
788,30292
789,433096
790,23209
791,257832
792,321310
793,69835
794,71533
795,128523
796,32145
797,76779
798,112140
799,78132
800,119880
801,234880
802,71260
803,700542
804,122779
805,206545
806,2572904
807,183299
808,709057
809,157518
810,97670
811,348130
812,111856
813,115752
814,115635
815,70276
816,84044
817,117453
818,296776
819,102895
820,145026
821,164417
822,32456
823,142039
824,177079
825,27032
826,66723
827,212613
828,143433
829,178755
830,170549
831,106187
832,305760
833,144754
834,182180
835,551113
836,470266
837,118926
838,170326
839,127481
840,126558
841,89364
842,92381
843,50194
844,137490
845,60212
846,35790
847,23973
848,619553
849,81129
850,259540
851,77132
852,76256
853,138866
854,110203
855,32587
856,40922
857,101605
858,96801
859,156331
860,172023
861,233160
862,89809
863,212164
864,117807
865,216999
866,139936
867,81006
868,48397
869,88740
870,75012
871,47686
872,235347
873,146450
874,277002
875,634643
876,781605
877,142184
878,53537
879,87082
880,222985
881,91722
882,124504
883,373733
884,126550
885,130352
886,508366
887,69189
888,117166
889,92564
890,83936
891,60609
892,49855
893,112662
894,153619
895,63195
896,98855
897,133500
898,89682
899,203542
900,158596
901,124648
902,77141
903,76683
904,120766
905,55488
906,403672
907,92919
908,113587
909,350394
910,124236
911,103409
912,60429
913,58073
914,165293
915,88795
916,56785
917,120109
918,250708
919,64268
920,70109
921,117308
922,132435
923,39430
924,56847
925,138640
926,86347
927,73210
928,63205
929,67172
930,125030
931,73333
932,77379
933,345612
934,87704
935,44135
936,60399
937,173128
938,92171
939,87817
940,82639
941,656099
942,126269
943,111535
944,191681
945,388172
946,80955
947,125482
948,1114504
949,425927
950,92555
951,1026150
952,409990
953,402466
954,518318
955,73245
956,239675
957,294250
958,217102
959,87229
960,138895
961,110604
962,56557
963,164218
964,99178
965,149967
966,42691
967,111945
968,83216
969,148414
970,116292
971,94735
972,381169
973,222868
974,98302
975,143419
976,88286
977,109223
978,206700
979,56481
980,138570
981,184244
982,110090
983,840250
984,119264
985,110475
986,198952
987,60909
988,42895
989,57045
990,95775
991,114340
992,94514
993,81167
994,131870
995,120629
996,124565
997,611276
998,574750
999,166743
1000,134112
1001,101937
1002,82500
1003,92889
1004,675258
1005,159658
1006,105320
1007,748309
1008,77994
1009,78623
1010,286218
1011,132925
1012,904374
1013,94245
1014,99834
1015,129307
1016,267645
1017,312586
1018,96583
1019,164886
1020,558530
1021,78925
1022,125206
1023,115035
1024,203601
1025,73019
1026,262640
1027,91505
1028,77822
1029,132748
1030,291140
1031,189765
1032,137996
1033,140238
1034,112652
1035,88557
1036,142078
1037,104175
1038,89685
1039,247561
1040,94965
1041,106750
1042,136237
1043,74732
1044,146018
1045,86052
1046,133970
1047,109232
1048,303993
1049,162456
1050,519298
1051,370425
1052,406927
1053,108530
1054,201006
1055,103915
1056,95042
1057,116078
1058,105900
1059,150883
1060,131448
1061,464773
1062,118258
1063,175665
1064,197202
1065,185265
1066,244918
1067,78152
1068,203282
1069,168965
1070,101840
1071,177969
1072,67120
1073,120711
1074,95800
1075,87752
1076,419748
1077,68420
1078,117780
1079,173355
1080,143052
1081,118913
1082,139615
1083,141309
1084,122910
1085,159090
1086,176650
1087,100977
1088,84460
1089,89929
1090,156607
1091,161886
1092,143785
1093,1366996
1094,82945
1095,31345
1096,204867
1097,250350
1098,92667
1099,303040
1100,38018
1101,76420
1102,28275
1103,123515
1104,159694
1105,112600
1106,136145
1107,423942
1108,94135
1109,168750
1110,684496
1111,146930
1112,72375
1113,67160
1114,135323
1115,107610
1116,73965
1117,75000
1118,124605
1119,135057
1120,205757
1121,170343
1122,82103
1123,155607
1124,166931
1125,52955
1126,122320
1127,143445
1128,299334
1129,116280
1130,110025
1131,103556
1132,152897
1133,57653
1134,119210
1135,111778
1136,131798
1137,82606
1138,68553
1139,54656
1140,345678
1141,49112
1142,210184
1143,56811
1144,133214
1145,105089
1146,82254
1147,85776
1148,91722
1149,63747
1150,92118
1151,25481
1152,73766
1153,299260
1154,96002
1155,354028
1156,91520
1157,170400
1158,200320
1159,184788
1160,279987
1161,310485
1162,117090
1163,164296
1164,163070
1165,187019
1166,263066
1167,125275
1168,629725
1169,161760
1170,191954
1171,198267
1172,120716
1173,46515
1174,58651
1175,68730
1176,93812
1177,167034
1178,83590
1179,140382
1180,189172
1181,78338
1182,275500
1183,1175115
1184,192328
1185,118380
1186,387909
1187,158656
1188,181017
1189,139414
1190,45105
1191,24110
1192,311591
1193,79168
1194,223805
1195,106030
1196,100236
1197,123621
1198,59558
1199,133567
1200,120310
1201,169312
1202,81361
1203,80090
1204,132130
1205,49125
1206,49647
1207,127712
1208,98452
1209,96330
1210,124485
1211,87027
1212,91370
1213,94456
1214,145670
1215,46738
1216,230857
1217,207753
1218,33023
1219,64250
1220,660987
1221,1724760
1222,189714
1223,1691580
1224,349681
1225,453465
1226,196060
1227,129097
1228,82883
1229,170819
1230,78114
1231,41479
1232,289267
1233,157400
1234,352189
1235,198685
1236,440365
1237,102255
1238,11639365
1239,290077
1240,189136
1241,509426
1242,167931
1243,122314
1244,88337
1245,321263
1246,408882
1247,174066
1248,405007
1249,66951
1250,85016
1251,149484
1252,143133
1253,131817
1254,145097
1255,215553
1256,122351
1257,167409
1258,44580
1259,63926
1260,118542
1261,92213
1262,110079
1263,164079
1264,128245
1265,207535
1266,132657
1267,115465
1268,73238
1269,314017
1270,426393
1271,41589
1272,77988
1273,132689
1274,140793
1275,224229
1276,765689
1277,163119
1278,132982
1279,46188
1280,115662
1281,81005
1282,136983
1283,131190
1284,88399
1285,121519
1286,60254
1287,83233
1288,96660
1289,261070
1290,281540
1291,102395
1292,144103
1293,86061
1294,231469
1295,87979
1296,155503
1297,69835
1298,250725
1299,281469
1300,139176
1301,89860
1302,100988
1303,105112
1304,154778
1305,161115
1306,121960
1307,111100
1308,270619
1309,222828
1310,197383
1311,277058
1312,262269
1313,91537
1314,135741
1315,1728465
1316,535140
1317,555190
1318,314207
1319,234401
1320,157142
1321,285210
1322,485949
1323,149625
1324,97951
1325,121114
1326,185018
1327,103433
1328,129305
1329,84474
1330,79475
1331,85406
1332,68186
1333,103554
1334,67590
1335,117835
1336,133339
1337,61325
1338,115235
1339,105011
1340,85142
1341,134793
1342,99245
1343,126738
1344,156175
1345,124270
1346,464649
1347,111570
1348,104965
1349,150735
1350,164801
1351,136485
1352,51135
1353,106149
1354,112620
1355,129182
1356,136167
1357,217170
1358,49522
1359,97434
1360,141374
1361,125416
1362,104856
1363,240532
1364,88541
1365,144933
1366,219725
1367,289209
1368,143873
1369,675150
1370,868494
1371,46085
1372,222240
1373,226865
1374,142100
1375,85120
1376,166435
1377,200964
1378,154202
1379,101694
1380,106470
1381,126625
1382,38705
1383,84385
1384,504867
1385,322879
1386,207719
1387,139081
1388,342609
1389,185280
1390,565672
1391,258627
1392,114663
1393,164084
1394,135722
1395,141884
1396,81872
1397,146783
1398,429800
1399,172899
1400,164182
1401,189727
1402,129234
1403,180377
1404,57233
1405,199637
1406,161632
1407,48222
1408,64085
1409,103720
1410,472470
1411,94969
1412,247660
1413,408653
1414,44817
1415,50965
1416,380846
1417,342002
1418,186116
1419,143730
1420,164337
1421,119965
1422,120538
1423,114822
1424,360960
1425,99940
1426,146466
1427,120917
1428,108502
1429,71396
1430,279350
1431,106898
1432,47686
1433,82793
1434,52797
1435,116614
1436,79259
1437,172861
1438,43148
1439,114129
1440,112786
1441,103667
1442,191385
1443,99492
1444,60546
1445,160510
1446,75805
1447,96612
1448,101626
1449,268709
1450,32506
1451,44084
1452,365206
1453,364693
1454,89102
1455,222823
1456,190203
1457,552323
1458,190778
1459,378009
1460,218643
1461,372816
1462,140054
1463,129040
1464,186513
1465,68046
1466,560099
1467,90826
1468,160600
1469,149837
1470,898533
1471,204474
1472,164193
1473,146403
1474,121540
1475,160490
1476,92939
1477,176368
1478,137568
1479,174926
1480,208303
1481,460199
1482,189391
1483,499684
1484,113775
1485,86971
1486,54082
1487,213946
1488,443168
1489,116219
1490,193055
1491,163960
1492,142538
1493,187504
1494,232900
1495,465311
1496,198887
1497,226378
1498,165233
1499,102007
1500,109636
1501,124165
1502,98803
1503,214820
1504,148353
1505,675630
1506,360064
1507,149524
1508,1431100
1509,396301
1510,222781
1511,168937
1512,413710
1513,275556
1514,650714
1515,182822
1516,299740
1517,188025
1518,200312
1519,688365
1520,139948
1521,91822
1522,138785
1523,458800
1524,164460
1525,213228
1526,111310
1527,66086
1528,113852
1529,146865
1530,140905
1531,80540
1532,131200
1533,149445
1534,145118
1535,207921
1536,212932
1537,315332
1538,290474
1539,201870
1540,260401
1541,180830
1542,65470
1543,459589
1544,142964
1545,116022
1546,89962
1547,67177
1548,86380
1549,114383
1550,30721
1551,125518
1552,138663
1553,430348
1554,177667
1555,137049
1556,741308
1557,1182966
1558,329060
1559,162859
1560,453906
1561,138740
1562,318512
1563,101337
1564,326650
1565,176935
1566,35688
1567,808197
1568,94238
1569,411536
1570,330750
1571,62047
1572,146180
1573,189553
1574,124171
1575,24017
1576,208512
1577,132542
1578,189660
1579,142869
1580,116360
1581,105349
1582,180186
1583,186634
1584,157272
1585,273722
1586,181038
1587,124578
1588,76832
1589,128716
1590,161792
1591,671245
1592,211481
1593,289732
1594,157046
1595,355985
1596,396065
1597,345420
1598,271656
1599,422201
1600,335708
1601,272495
1602,177412
1603,253612
1604,62208
1605,906416
1606,485060
1607,180232
1608,242254
1609,183866
1610,258840
1611,1208286
1612,338429
1613,256873
1614,231580
1615,80726
1616,418648
1617,459048
1618,369460
1619,53924
1620,172361
1621,191457
1622,524594
1623,331150
1624,326221
1625,857056
1626,129180
1627,624955
1628,803787
1629,306806
1630,221398
1631,242433
1632,163062
1633,137695
1634,71379
1635,169971
1636,183857
1637,177337
1638,177820
1639,361743
1640,166147
1641,139200
1642,406340
1643,716910
1644,663068
1645,195513
1646,96750
1647,118721
1648,949565
1649,562600
1650,268134
1651,94958
1652,128471
1653,250660
1654,530603
1655,105662
1656,127543
1657,111295
1658,76189
1659,166519
1660,210066
1661,145049
1662,691700
1663,102232
1664,820441
1665,340015
1666,471257
1667,138939
1668,124262
1669,217830
1670,154730
1671,82639
1672,281756
1673,567590
1674,121937
1675,211810
1676,114035
1677,341740
1678,522943
1679,179250
1680,617540
1681,212554
1682,192280
1683,251846
1684,178853
1685,374464
1686,111342
1687,358665
1688,219080
1689,256879
1690,256535
1691,79562
1692,61082
1693,328247
1694,121801
1695,1935306
1696,111012
1697,482281
1698,188382
1699,160771
1700,140312
1701,175781
1702,1046834
1703,331815
1704,159498
1705,151631
1706,148265
1707,582070
1708,150556
1709,75860
1710,90935
1711,155058
1712,163352
1713,50338
1714,112508
1715,247148
1716,160074
1717,142628
1718,143319
1719,128916
1720,114620
1721,133684
1722,130266
1723,115437
1724,121570
1725,282507
1726,260502
1727,529276
1728,262330
1729,91958
1730,104703
1731,112035
1732,89855
1733,41723
1734,134937
1735,96043
1736,132926
1737,146090
1738,140073
1739,42292
1740,130736
1741,96594
1742,114893
1743,81861
1744,55620
1745,138678
1746,62058
1747,86194
1748,176350
1749,69890
1750,96290
1751,52446
1752,73651
1753,84802
1754,47386
1755,35774
1756,73830
1757,91356
1758,117760
1759,100796
1760,89140
1761,164648
1762,140705
1763,116974
1764,26190
1765,57086
1766,123302
1767,111458
1768,130541
1769,181893
1770,237047
1771,239934
1772,97551
1773,157857
1774,39009
1775,83693
1776,183390
1777,207142
1778,210634
1779,109711
1780,146710
1781,302153
1782,194954
1783,294190
1784,273215
1785,349383
1786,117043
1787,146410
1788,144410
1789,117176
1790,120534
1791,140981
1792,191865
1793,119845
1794,361910
1795,82955
1796,118560
1797,178979
1798,150798
1799,63402
1800,656748
1801,205831
1802,198933
1803,72940
1804,194063
1805,109485
1806,226162
1807,97002
1808,136958
1809,174037
1810,157830
1811,227615
1812,85692
1813,134257
1814,175357
1815,125855
1816,121691
1817,390061
1818,232193
1819,287661
1820,280096
1821,385810
1822,163807
1823,54035
1824,75496
1825,40696
1826,98747
1827,510130
1828,142217
1829,130159
1830,47445
1831,142008
1832,104590
1833,84076
1834,122813
1835,246050
1836,150138
1837,134950
1838,131316
1839,171721
1840,153348
1841,263713
1842,221948
1843,214900
1844,84623
1845,118786
1846,63440
1847,96747
1848,129941
1849,162566
1850,141277
1851,109641
1852,107065
1853,646255
1854,232704
1855,111983
1856,46286
1857,91187
1858,155060
1859,125767
1860,102636
1861,92428
1862,152926
1863,243375
1864,87613
1865,133503
1866,91174
1867,136119
1868,166851
1869,462344
1870,354463
1871,115768
1872,176945
1873,147434
1874,134149
1875,50988
1876,219667
1877,150762
1878,293325
1879,651074
1880,172440
1881,84026
1882,196823
1883,258218
1884,160810
1885,155279
1886,321062
1887,342907
1888,159055
1889,403108
1890,119152
1891,139985
1892,137229
1893,65487
1894,106689
1895,211176
1896,113647
1897,191600
1898,124316
1899,149049
1900,84822
1901,112034
1902,340050
1903,95650
1904,148455
1905,98974
1906,138735
1907,177565
1908,138480
1909,93981
1910,356850
1911,146330
1912,114724
1913,201050
1914,559233
1915,149986
1916,228286
1917,107865
1918,97614
1919,116220
1920,98401
1921,132177
1922,171669
1923,72120
1924,292142
1925,159524
1926,85039
1927,89279
1928,112182
1929,234106
1930,253350
1931,54685
1932,158914
1933,163871
1934,138290
1935,198561
1936,210814
1937,198845
1938,810496
1939,101688
1940,210236
1941,221465
1942,43099
1943,262888
1944,268382
1945,826522
1946,325660
1947,836272
1948,473678
1949,200130
1950,81436
1951,163998
1952,372618
1953,221716
1954,243948
1955,504872
1956,295085
1957,427342
1958,1713042
1959,156456
1960,407483
1961,356476
1962,199869
1963,205010
1964,358500
1965,157652
1966,122406
1967,86048
1968,412020
1969,64320
1970,209130
1971,126737
1972,467176
1973,293349
1974,39163
1975,291229
1976,123988
1977,397965
1978,340549
1979,48288
1980,96973
1981,191728
1982,298820
1983,112825
1984,89740
1985,326519
1986,108982
1987,139793
1988,394418
1989,167638
1990,464417
1991,73330
1992,201507
1993,199920
1994,270685
1995,186547
1996,454429
1997,95040
1998,71942
1999,88110
2000,107373
2001,92908
2002,95236
2003,602093
2004,124942
2005,816473
2006,183790
2007,213053
2008,188648
2009,276662
2010,425947
2011,261922
2012,417684
2013,210735
2014,1522522
2015,68884
2016,173220
2017,435565
2018,208505
2019,148185
2020,82243
2021,458310
2022,141013
2023,234907
2024,103216
2025,148740
2026,73048
2027,83547
2028,42118
2029,28081
2030,86823
2031,171838
2032,102610
2033,31693
2034,68218
2035,129429
2036,133259
2037,40490
2038,42993
2039,48565
2040,52656
2041,60605
2042,114702
2043,49833
2044,77850
2045,73515
2046,122747
2047,143152
2048,95882
2049,144861
2050,76444
2051,108677
2052,82974
2053,97150
2054,188786
2055,105590
2056,159007
2057,94787
2058,184011
2059,41728
2060,101090
2061,925501
2062,110270
2063,78166
2064,130099
2065,181059
2066,121681
2067,173248
2068,154729
2069,164735
2070,266011
2071,137838
2072,342385
2073,46856
2074,279720
2075,182270
2076,308854
2077,132303
2078,25013
2079,850162
2080,58955
2081,110542
2082,614900
2083,185066
2084,982436
2085,650671
2086,904965
2087,1069624
2088,574885
2089,627722
2090,433075
2091,226878
2092,412780
2093,126934
2094,41236
2095,150827
2096,99549
2097,414771
2098,74854
2099,58148
2100,197097
2101,189976
2102,78439
2103,188131
2104,42379
2105,140484
2106,205422
2107,190236
2108,173309
2109,138236
2110,94901
2111,92460
2112,244210
2113,123662
2114,102522
2115,380047
2116,190630
2117,177029
2118,94817
2119,324904
2120,208292
2121,41221
2122,58949
2123,153519
2124,62624
2125,75869
2126,67794
2127,81793
2128,71088
2129,157738
2130,299859
2131,67548
2132,140735
2133,133007
2134,108531
2135,238729
2136,118365
2137,112873
2138,161910
2139,11815988
2140,877048
2141,195279
2142,311458
2143,74621
2144,418041
2145,119043
2146,125212
2147,64030
2148,346078
2149,76288
2150,181042
2151,145082
2152,118355
2153,141114
2154,109872
2155,116622
2156,128442
2157,103085
2158,108472
2159,94680
2160,137442
2161,133328
2162,144350
2163,194080
2164,108242
2165,134415
2166,102820
2167,72237
2168,202615
2169,223190
2170,166379
2171,115930
2172,234305
2173,102305
2174,100800
2175,105580
2176,130170
2177,109935
2178,303701
2179,104458
2180,128330
2181,157822
2182,147420
2183,101880
2184,193575
2185,159730
2186,173848
2187,173425
2188,111388
2189,247220
2190,68480
2191,127050
2192,119550
2193,100392
2194,357260
2195,134145
2196,104881
2197,88635
2198,142285
2199,139640
2200,136485
2201,126425
2202,67135
2203,125740
2204,189060
2205,93185
2206,241410
2207,115430
2208,72815
2209,103770
2210,152985
2211,122575
2212,140610
2213,130825
2214,161105
2215,114175
2216,95873
2217,181390
2218,108630
2219,163475
2220,117230
2221,292260
2222,196460
2223,206290
2224,180370
2225,255200
2226,78980
2227,59460
2228,162350
2229,616250
2230,315470
2231,93045
2232,358100
2233,75357
2234,89990
2235,61265
2236,97425
2237,76250
2238,86415
2239,82474
2240,62495
2241,91813
2242,113982
2243,65592
2244,112398
2245,105513
2246,101233
2247,67052
2248,87665
2249,81898
2250,100157
2251,77352
2252,84171
2253,80605
2254,75340
2255,119570
2256,103537
2257,89820
2258,81315
2259,118756
2260,119160
2261,113421
2262,107104
2263,124477
2264,106390
2265,106420
2266,103339
2267,116134
2268,95764
2269,108295
2270,125493
2271,114690
2272,98220
2273,119505
2274,123174
2275,118989
2276,86042
2277,92680
2278,103759
2279,82820
2280,88704
2281,101610
2282,100725
2283,120010
2284,127570
2285,138840
2286,95290
2287,102225
2288,129720
2289,99990
2290,107850
2291,99300
2292,117830
2293,98450
2294,337464
2295,321050
2296,184162
2297,1411792
2298,163053
2299,415341
2300,414998
2301,213460
2302,205508
2303,250305
2304,374862
2305,1541760
2306,596805
2307,258622
2308,1222260
2309,202687
2310,701011
2311,443065
2312,164328
2313,125834
2314,257444
2315,117568
2316,183664
2317,256316
2318,323451
2319,150509
2320,624760
2321,612183
2322,109447
2323,223725
2324,287900
2325,235142
2326,1107535
2327,1198920
2328,243510
2329,320475
2330,411360
2331,1145410
2332,1743278
2333,240000
2334,327592
2335,123460
2336,135355
2337,356285
2338,609877
2339,321298
2340,344300
2341,1005758
2342,100885
2343,603440
2344,326090
2345,192450
2346,92470
2347,247550
2348,109897
2349,444197
2350,325784
2351,88148
2352,709549
2353,139486
2354,935873
2355,347948
2356,193982
2357,130336
2358,195351
2359,255684
2360,458059
2361,543606
2362,635443
2363,161587
2364,384740
2365,677189
2366,358954
2367,222136
2368,84390
2369,121804
2370,379588
2371,134618
2372,212979
2373,388098
2374,270940
2375,168922
2376,516593
2377,124314
2378,550343
2379,451596
2380,1322828
2381,153772
2382,127580
2383,219946
2384,270975
2385,275194
2386,289732
2387,457207
2388,574254
2389,2797276
2390,195613
2391,479067
2392,85830
2393,423985
2394,460068
2395,791936
2396,851069
2397,324046
2398,335330
2399,217080
2400,198530
2401,448579
2402,907664
2403,134068
2404,297856
2405,491420
2406,862168
2407,555464
2408,356562
2409,265802
2410,480715
2411,280148
2412,834565
2413,197948
2414,196646
2415,340988
2416,268869
2417,286991
2418,1209803
2419,404056
2420,440681
2421,176480
2422,1230785
2423,165326
2424,284183
2425,581438
2426,253679
2427,59720
2428,88150
2429,93168
2430,561400
2431,168548
2432,291660
2433,179238
2434,277441
2435,227194
2436,268772
2437,231458
2438,183748
2439,721230
2440,197586
2441,154811
2442,360050
2443,690659
2444,392438
2445,369713
2446,116395
2447,231370
2448,203972
2449,108320
2450,285760
2451,226848
2452,201274
2453,225904
2454,518000
2455,113356
2456,294428
2457,238100
2458,207868
2459,232376
2460,248524
2461,92288
2462,368162
2463,249819
2464,434032
2465,364298
2466,528471
2467,200436
2468,154888
2469,158262
2470,1418900
2471,407890
2472,338797
2473,345920
2474,245688
2475,440560
2476,184078
2477,550988
2478,252436
2479,244735
2480,156757
2481,65293
2482,173544
2483,151796
2484,170980
2485,172318
2486,552729
2487,275221
2488,159849
2489,79643
